player,team,location,shot_statsbomb_xg,shot_outcome,shot_technique,shot_body_part,minute,match_id
Bryan Mbeumo,Cameroon,"[109.4, 22.7]",0.016072592,Saved,Normal,Left Foot,9,3857290
Karl Brillant Toko Ekambi,Cameroon,"[108.7, 32.1]",0.15900026,Off T,Half Volley,Right Foot,9,3857290
Granit Xhaka,Switzerland,"[88.1, 28.2]",0.012105021,Off T,Normal,Left Foot,11,3857290
Ngoran Suiru Fai Collins,Cameroon,"[98.8, 59.8]",0.009452554,Off T,Normal,Right Foot,25,3857290
Martin Hongla Yma II,Cameroon,"[110.6, 53.8]",0.08237888,Saved,Normal,Right Foot,29,3857290
Nico Elvedi,Switzerland,"[113.3, 38.7]",0.19001445,Off T,Normal,Head,39,3857290
Jean-Eric Maxim Choupo-Moting,Cameroon,"[105.2, 53.5]",0.041722767,Blocked,Normal,Right Foot,40,3857290
Manuel Obafemi Akanji,Switzerland,"[114.7, 38.7]",0.15555824,Off T,Normal,Head,45,3857290
Breel-Donald Embolo,Switzerland,"[111.9, 39.5]",0.55189455,Goal,Normal,Right Foot,47,3857290
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,"[116.1, 35.1]",0.24569963,Saved,Normal,Head,49,3857290
Jean-Eric Maxim Choupo-Moting,Cameroon,"[119.2, 47.9]",0.0123953605,Saved,Normal,Right Foot,56,3857290
André-Frank Zambo Anguissa,Cameroon,"[107.5, 44.3]",0.046351306,Saved,Normal,Head,65,3857290
Ruben Vargas,Switzerland,"[107.5, 41.8]",0.1977995,Saved,Normal,Right Foot,65,3857290
Granit Xhaka,Switzerland,"[96.2, 37.3]",0.048882935,Saved,Normal,Left Foot,88,3857290
Haris Seferović,Switzerland,"[108.0, 45.8]",0.27028984,Blocked,Normal,Left Foot,94,3857290
Otávio Edmilson da Silva Monteiro,Portugal,"[96.6, 34.3]",0.02513017,Off T,Volley,Right Foot,4,3857298
Rúben Diogo Da Silva Neves,Portugal,"[98.1, 36.6]",0.07171052,Blocked,Normal,Right Foot,5,3857298
Cristiano Ronaldo dos Santos Aveiro,Portugal,"[107.7, 39.2]",0.4577736,Saved,Normal,Right Foot,9,3857298
Cristiano Ronaldo dos Santos Aveiro,Portugal,"[116.3, 43.7]",0.2074416,Off T,Normal,Head,12,3857298
João Félix Sequeira,Portugal,"[104.2, 35.6]",0.07848694,Off T,Normal,Left Foot,27,3857298
Otávio Edmilson da Silva Monteiro,Portugal,"[99.9, 32.5]",0.045895047,Saved,Normal,Right Foot,35,3857298
Cristiano Ronaldo dos Santos Aveiro,Portugal,"[110.0, 25.1]",0.030432492,Blocked,Normal,Left Foot,41,3857298
Alidu Seidu,Ghana,"[88.8, 44.2]",0.015372672,Off T,Half Volley,Left Foot,53,3857298
Mohammed Kudus,Ghana,"[92.9, 31.0]",0.030134441,Off T,Normal,Left Foot,54,3857298
Cristiano Ronaldo dos Santos Aveiro,Portugal,"[108.1, 40.1]",0.7835,Goal,Normal,Right Foot,64,3857298
Iñaki Williams Arthuer,Ghana,"[91.1, 47.3]",0.020453067,Blocked,Normal,Right Foot,66,3857298
Thomas Teye Partey,Ghana,"[92.4, 52.5]",0.021057075,Off T,Normal,Right Foot,68,3857298
Mohammed Kudus,Ghana,"[90.8, 34.5]",0.02159481,Saved,Half Volley,Left Foot,71,3857298
André Ayew Pelé,Ghana,"[115.6, 39.8]",0.48524466,Goal,Half Volley,Right Foot,72,3857298
João Félix Sequeira,Portugal,"[107.5, 52.6]",0.21504128,Goal,Normal,Right Foot,77,3857298
Rafael Alexandre Conceição Leão,Portugal,"[111.7, 28.3]",0.15539157,Goal,Normal,Right Foot,79,3857298
Osman Bukari,Ghana,"[113.5, 40.2]",0.15547352,Goal,Normal,Head,88,3857298
Mohamed Salisu,Ghana,"[106.9, 30.6]",0.02431712,Off T,Normal,Head,91,3857298
Rafael Alexandre Conceição Leão,Portugal,"[95.5, 29.9]",0.026070174,Blocked,Normal,Right Foot,95,3857298
Osman Bukari,Ghana,"[103.3, 12.6]",0.0063759447,Off T,Normal,Right Foot,97,3857298
Boulaye Dia,Senegal,"[107.0, 27.1]",0.034865376,Blocked,Half Volley,Left Foot,0,3857285
Vincent Janssen,Netherlands,"[103.2, 34.3]",0.12169348,Blocked,Normal,Left Foot,3,3857285
Ismaïla Sarr,Senegal,"[97.5, 44.1]",0.059537582,Off T,Normal,Left Foot,8,3857285
Daley Blind,Netherlands,"[112.8, 32.9]",0.04866169,Off T,Normal,Head,16,3857285
Vincent Janssen,Netherlands,"[98.3, 44.3]",0.03382374,Blocked,Normal,Left Foot,18,3857285
Ismaïla Sarr,Senegal,"[102.7, 25.9]",0.034923773,Blocked,Normal,Right Foot,24,3857285
Virgil van Dijk,Netherlands,"[109.4, 38.0]",0.045367446,Off T,Normal,Head,26,3857285
Idrissa Gana Gueye,Senegal,"[100.9, 48.4]",0.025139945,Blocked,Normal,Right Foot,28,3857285
Krépin Diatta,Senegal,"[100.0, 56.6]",0.03131155,Off T,Normal,Left Foot,28,3857285
Youssouf Sabaly,Senegal,"[84.7, 54.0]",0.0068181115,Saved,Normal,Right Foot,32,3857285
Steven Berghuis,Netherlands,"[97.2, 47.3]",0.030127633,Off T,Volley,Left Foot,39,3857285
Virgil van Dijk,Netherlands,"[111.1, 40.2]",0.06871433,Off T,Normal,Head,52,3857285
Youssouf Sabaly,Senegal,"[96.9, 57.9]",0.011074076,Blocked,Normal,Right Foot,53,3857285
Krépin Diatta,Senegal,"[115.2, 50.5]",0.058196757,Wayward,Half Volley,Right Foot,57,3857285
Steven Berghuis,Netherlands,"[95.3, 32.8]",0.038496487,Blocked,Normal,Left Foot,59,3857285
Boulaye Dia,Senegal,"[107.6, 56.5]",0.04221427,Saved,Normal,Right Foot,64,3857285
Idrissa Gana Gueye,Senegal,"[103.3, 40.4]",0.06520781,Saved,Half Volley,Right Foot,72,3857285
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,"[104.3, 31.7]",0.07416881,Off T,Half Volley,Left Foot,74,3857285
Ismaïla Sarr,Senegal,"[111.3, 40.6]",0.06430619,Off T,Normal,Head,81,3857285
Cody Mathès Gakpo,Netherlands,"[112.3, 39.0]",0.28603274,Goal,Normal,Head,83,3857285
Pape Gueye,Senegal,"[93.8, 56.8]",0.008650101,Saved,Normal,Left Foot,85,3857285
Ismail Jakobs,Senegal,"[91.0, 27.5]",0.014392905,Off T,Half Volley,Left Foot,91,3857285
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,"[112.8, 35.7]",0.16068545,Off T,Normal,Head,92,3857285
Memphis Depay,Netherlands,"[101.2, 50.1]",0.102816984,Saved,Normal,Left Foot,98,3857285
Davy Klaassen,Netherlands,"[109.5, 34.8]",0.34814927,Goal,Normal,Left Foot,98,3857285
Joshua Sargent,United States,"[116.0, 35.3]",0.25332773,Post,Normal,Head,9,3857282
Ethan Ampadu,Wales,"[87.6, 43.1]",0.013776194,Off T,Half Volley,Right Foot,13,3857282
Sergino Dest,United States,"[90.9, 56.6]",0.0066337776,Off T,Normal,Right Foot,28,3857282
Timothy Weah,United States,"[107.7, 37.8]",0.20100605,Goal,Normal,Right Foot,35,3857282
Ben Davies,Wales,"[114.7, 37.5]",0.14399761,Off T,Normal,Head,44,3857282
Kieffer Roberto Francisco Moore,Wales,"[93.4, 42.2]",0.032130886,Blocked,Half Volley,Left Foot,60,3857282
Ben Davies,Wales,"[109.2, 38.3]",0.18666926,Saved,Diving Header,Head,63,3857282
Kieffer Roberto Francisco Moore,Wales,"[116.3, 43.4]",0.19270518,Off T,Normal,Head,64,3857282
Haji Wright,United States,"[106.6, 46.9]",0.027433796,Off T,Normal,Head,74,3857282
Brenden Aaronson,United States,"[116.3, 46.7]",0.09428854,Off T,Normal,Head,76,3857282
Gareth Frank Bale,Wales,"[108.0, 40.0]",0.7835,Goal,Normal,Left Foot,81,3857282
Brennan Johnson,Wales,"[109.9, 56.2]",0.042556882,Saved,Normal,Right Foot,88,3857282
Tyler Adams,United States,"[92.8, 35.5]",0.019808901,Blocked,Half Volley,Right Foot,91,3857282
Mohammed Al Burayk,Saudi Arabia,"[91.6, 24.8]",0.012477021,Blocked,Normal,Right Foot,7,3857297
Mohammed Kanoo,Saudi Arabia,"[105.5, 54.5]",0.03839731,Saved,Normal,Right Foot,12,3857297
Krystian Bielik,Poland,"[111.7, 39.3]",0.075333446,Blocked,Normal,Head,25,3857297
Saleh Khalid Al Shehri,Saudi Arabia,"[108.5, 45.0]",0.044610713,Wayward,Normal,Head,32,3857297
Piotr Zieliński,Poland,"[111.9, 44.7]",0.23496674,Goal,Half Volley,Right Foot,38,3857297
Robert Lewandowski,Poland,"[112.9, 58.5]",0.009729679,Wayward,Half Volley,Right Foot,40,3857297
Salem Mohammed Al Dawsari,Saudi Arabia,"[108.1, 40.1]",0.7835,Saved,Normal,Right Foot,45,3857297
Mohammed Al Burayk,Saudi Arabia,"[112.7, 32.9]",0.35719204,Saved,Normal,Right Foot,45,3857297
Saud Abdullah Abdul Hamid,Saudi Arabia,"[85.9, 24.5]",0.005913877,Blocked,Normal,Right Foot,50,3857297
Mohammed Kanoo,Saudi Arabia,"[104.2, 39.3]",0.03705331,Off T,Overhead Kick,Right Foot,50,3857297
Salem Mohammed Al Dawsari,Saudi Arabia,"[97.6, 21.6]",0.010959039,Off T,Normal,Right Foot,53,3857297
Salem Mohammed Al Dawsari,Saudi Arabia,"[114.6, 36.1]",0.16438472,Saved,Normal,Left Foot,54,3857297
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,"[97.0, 40.0]",0.0391187,Off T,Volley,Right Foot,54,3857297
Firas Tariq Nasser Al Albirakan,Saudi Arabia,"[112.9, 27.5]",0.11089649,Off T,Normal,Left Foot,59,3857297
Mohammed Kanoo,Saudi Arabia,"[107.3, 49.4]",0.07597345,Off T,Normal,Right Foot,60,3857297
Arkadiusz Milik,Poland,"[111.0, 38.8]",0.13519733,Post,Normal,Head,62,3857297
Robert Lewandowski,Poland,"[115.1, 44.4]",0.25903136,Post,Normal,Other,65,3857297
Nawaf Shaker Al Abid,Saudi Arabia,"[95.1, 46.7]",0.0660456,Blocked,Normal,Left Foot,67,3857297
Salem Mohammed Al Dawsari,Saudi Arabia,"[96.0, 34.2]",0.03677261,Saved,Normal,Right Foot,68,3857297
Robert Lewandowski,Poland,"[107.3, 49.0]",0.09536816,Blocked,Normal,Right Foot,72,3857297
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,"[103.2, 34.7]",0.10027991,Off T,Normal,Left Foot,77,3857297
Krzysztof Piątek,Poland,"[107.4, 41.4]",0.02819521,Off T,Normal,Head,80,3857297
Robert Lewandowski,Poland,"[107.2, 44.6]",0.47824246,Goal,Normal,Left Foot,81,3857297
Abdulrahman Al-Obood,Saudi Arabia,"[118.0, 48.2]",0.041744728,Off T,Normal,Head,86,3857297
Robert Lewandowski,Poland,"[109.9, 48.1]",0.4181081,Saved,Lob,Right Foot,89,3857297
Mohammed Kanoo,Saudi Arabia,"[95.3, 32.9]",0.046656966,Off T,Normal,Right Foot,95,3857297
Memphis Depay,Netherlands,"[114.9, 52.7]",0.04113277,Off T,Half Volley,Right Foot,0,3857294
Hassan Khalid Al Heidos,Qatar,"[89.6, 52.0]",0.015712837,Saved,Normal,Right Foot,2,3857294
Daley Blind,Netherlands,"[114.1, 29.0]",0.10723932,Saved,Normal,Right Foot,3,3857294
Daley Blind,Netherlands,"[115.2, 28.6]",0.042171385,Off T,Volley,Right Foot,3,3857294
Cody Mathès Gakpo,Netherlands,"[93.2, 29.5]",0.023612352,Blocked,Normal,Right Foot,6,3857294
Frenkie de Jong,Netherlands,"[96.9, 32.3]",0.032602046,Blocked,Normal,Right Foot,13,3857294
Memphis Depay,Netherlands,"[107.4, 31.3]",0.14338174,Off T,Half Volley,Right Foot,13,3857294
Davy Klaassen,Netherlands,"[113.0, 44.5]",0.08364612,Off T,Normal,Head,18,3857294
Abdelkarim Hassan Al Haj Fadlalla,Qatar,"[109.2, 45.5]",0.067132466,Off T,Volley,Right Foot,24,3857294
Memphis Depay,Netherlands,"[113.6, 30.5]",0.0753362,Blocked,Normal,Right Foot,25,3857294
